Date,Total_Profit,Arbitrage_Profit,Ancillary_Low_Profit,Ancillary_High_Profit,SOH,Throughput_MWh,Capacity_MWh
2024-01-01,5984.224818486469,1574.6204504864681,4409.604368,0.0,0.99987300000019,12.699999981000001,19.997460000003798
2024-01-02,4956.375835614955,1556.727515614954,3399.6483200000007,0.0,0.9995610447026599,31.195529753000002,19.9912208940532
2024-01-03,7721.149658512926,359.65663451292767,7361.493023999999,0.0,0.9993916704908199,16.937421184,19.987833409816396
2024-01-04,7784.780427728666,1536.5920117286662,5657.357616,590.8308,0.9991986533224899,19.301716833000004,19.9839730664498
2024-01-05,5923.293464775006,26.16884077500769,5035.604383999999,861.5202400000001,0.9991622221265599,3.643119593,19.9832444425312
2024-01-06,6258.462835254569,2247.258795254569,2569.9936399999997,1441.2104,0.9988505170224399,31.170510412,19.977010340448796
2024-01-07,5878.863028812077,381.63014081207615,5061.067768000001,436.16512,0.9987660663476798,8.445067476,19.975321326953598
2024-01-08,3493.4605290847303,-145.96945491526958,2842.677568,796.752416,0.9985954143737298,17.065197395000002,19.971908287474594
2024-01-09,3879.595435635447,-297.8452123645541,4177.440648000001,0.0,0.9984442998501898,15.111452354,19.968885997003795
2024-01-10,4890.177508994815,211.79694899481444,4678.38056,0.0,0.9982526301589498,19.166969124,19.965052603178997
2024-01-11,4093.1625824610974,-4.940737538902795,4098.10332,0.0,0.9980815152115098,17.111494744,19.961630304230194
2024-01-12,6367.623031222491,153.62367122249,5941.10288,272.89648,0.9980379596563098,4.35555552,19.960759193126197
2024-01-13,3560.260585447819,-21.72995855218005,3581.9905439999998,0.0,0.9978261767913398,21.178286497000002,19.956523535826797
2024-01-14,3760.6940647771853,90.15685677718511,3670.5372079999997,0.0,0.9976845748517098,14.160193963000001,19.953691497034196
2024-01-15,4042.6976870552157,-34.80168894478447,4077.499376,0.0,0.9974883898813698,19.618497034,19.949767797627395
2024-01-16,7793.037924808929,16.439020808929854,7776.5989039999995,0.0,0.9972994970698698,18.889281150000002,19.945989941397396
2024-01-17,3924.511160448619,-324.4777595513806,4248.988920000001,0.0,0.9970906044007197,20.889266915,19.941812088014395
2024-01-18,4323.142980006325,0.0263160063245304,4323.116664,0.0,0.9970488224450598,4.178195565999999,19.940976448901196
2024-01-19,3346.8947211000814,37.69014510008077,3309.2045760000005,0.0,0.9968829012599397,16.592118512,19.937658025198793
2024-01-20,4156.045605393248,-230.36892260675313,3347.140768,1039.27376,0.9965782207023097,30.468055763000002,19.931564414046193
2024-01-21,5607.10247032484,1405.0553743248406,4202.047096,0.0,0.9964479923832498,13.022831906,19.928959847664995
2024-01-22,5284.8815105397725,1462.969358539772,3285.6449520000006,536.2672,0.9962892426891298,15.874969411999999,19.925784853782595
2024-01-23,3474.656928390067,-438.6882396099328,3913.345168,0.0,0.9961392234449697,15.001924416000001,19.922784468899394
2024-01-24,5235.449663813351,1969.6498398133515,3265.799824,0.0,0.9958365824379698,30.264100700000004,19.916731648759395
2024-01-25,4862.426002863018,254.51941886301688,4607.906584,0.0,0.9956927146273098,14.386781066000001,19.913854292546198
2024-01-26,4514.6813299609,442.15404196090026,4072.527288,0.0,0.9955872307920498,10.548383526,19.911744615840995
2024-01-27,3573.5616633109726,119.9750553109734,3453.5866079999996,0.0,0.9952878951958198,29.933559623,19.905757903916395
2024-01-28,3330.7102699758407,296.21723797584104,3034.4930320000003,0.0,0.9951034447677798,18.445042803999996,19.902068895355598
2024-01-29,3360.3579019330896,-144.0610100669096,3504.4189119999996,0.0,0.9948042794655798,29.91653022,19.896085589311596
2024-01-30,4336.936636222793,-17.6318917772071,4354.568528,0.0,0.9946620332325298,14.224623305000001,19.893240664650595
2024-01-31,2972.5598554090684,-226.01342459093166,3198.57328,0.0,0.9943608010847798,30.123214775,19.887216021695593
2024-02-01,3989.7891219888156,-187.61061401118405,4177.399735999999,0.0,0.9942934594111598,6.734167361999999,19.885869188223197
2024-02-02,17315.29675011337,933.5597021133726,16381.737047999999,0.0,0.9941234681127298,16.999129843,19.882469362254596
2024-02-03,15020.32688052691,5015.218832526909,10005.108048,0.0,0.9938179810944298,30.54870183,19.876359621888597
2024-02-04,3584.6158249525274,-131.4823030474721,3716.0981279999996,0.0,0.9937659749852098,5.200610922,19.875319499704197
2024-02-05,4049.5050727385646,9.96245673856447,4039.5426159999997,0.0,0.9935969713888698,16.900359634,19.871939427777395
2024-02-06,44569.108323374916,1034.7411633749125,43425.3856,108.98156,0.9933452028636698,25.176852520000008,19.866904057273395
2024-02-07,8873.879169729491,-99.75907027050971,8973.63824,0.0,0.9931889250293698,15.627783430000004,19.863778500587397
2024-02-08,9131.067514562421,460.7028185624224,8670.364696,0.0,0.9929639218985898,22.500313077999998,19.859278437971795
2024-02-09,16215.608672380878,-86.52796761912145,16302.13664,0.0,0.9928083082914698,15.561360712000003,19.856166165829396
2024-02-10,4670.705808903958,-412.40507109604255,5083.11088,0.0,0.9927627286559698,4.55796355,19.855254573119396
2024-02-11,5857.893278946334,159.9361429463338,5697.957136,0.0,0.9926284720346498,13.425662132000001,19.852569440692996
2024-02-12,3849.5791502021702,636.3385422021702,3213.240608,0.0,0.9923236915676298,30.478046702,19.846473831352597
2024-02-13,4280.486777093017,660.647169093018,3619.839608,0.0,0.9920179491837298,30.574238389999998,19.840358983674594
2024-02-14,4558.2694557774375,166.02578377743805,4392.243672,0.0,0.9918465928488898,17.135633484,19.836931856977795
2024-02-15,5309.524074299685,432.73446629968475,3950.5667280000002,926.2228799999999,0.9915449072923898,30.16855565,19.830898145847794
